US,83836,1209
China,81782,3291
Italy,80589,8215
Spain,57786,4365
Germany,43938,267
France,29551,1698
Iran,29406,2234
United Kingdom,11812,580
Switzerland,11811,191
South Korea,9241,131
Netherlands,7468,435
Austria,6909,49
Belgium,6235,220
Canada,4042,38
Turkey,3629,75
Portugal,3544,60
Norway,3369,14
Brazil,2985,77
Sweden,2840,77
Australia,2810,13
Israel,2693,8
Malaysia,2031,23
Denmark,2023,41
Czechia,1925,9
Ireland,1819,19
Luxembourg,1453,9
Ecuador,1403,34
Japan,1387,47
Chile,1306,4
Poland,1221,16
Pakistan,1201,9
Thailand,1045,4
Romania,1029,23
Saudi Arabia,1012,3
Finland,958,5
South Africa,927,0
Indonesia,893,78
Greece,892,26
Russia,840,3
Iceland,802,2
India,727,20
Cruise Ship(Diamond Princess),712,10
Philippines,707,45
Singapore,683,2
Peru,580,9
Slovenia,562,6
Panama,558,8
Qatar,549,0
Estonia,538,1
Argentina,502,9
Croatia,495,3
Egypt,495,24
Colombia,491,6
Dominican Republic,488,10
Mexico,475,6
Bahrain,458,4
Serbia,384,1
Iraq,382,36
Lebanon,368,6
Algeria,367,25
United Arab Emirates,333,2
Lithuania,299,4
Armenia,290,1
New Zealand,283,0
Morocco,275,11
Bulgaria,264,3
Hungary,261,10
Taiwan,252,2
Latvia,244,0
Costa Rica,231,2
Slovakia,226,0
Andorra,224,3
Uruguay,217,0
Jordan,212,0
Kuwait,208,0
San Marino,208,21
North Macedonia,201,3
Tunisia,197,6
Ukraine,196,5
Bosnia and Herzegovina,191,3
Moldova,177,1
Albania,174,6
Vietnam,153,0
Burkina Faso,152,7
Cyprus,146,3
Malta,134,0
Ghana,132,4
Azerbaijan,122,3
Brunei,114,0
Kazakhstan,111,1
Oman,109,0
Venezuela,107,0
Sri Lanka,106,0
Senegal,105,0
Cote d'Ivoire,96,0
Cambodia,96,0
Afghanistan,94,4
Belarus,86,0
West Bank and Gaza,84,1
Mauritius,81,2
Georgia,79,0
Uzbekistan,75,0
Cameroon,75,1
Kosovo,71,1
Montenegro,69,1
Cuba,67,2
Nigeria,65,1
Trinidad and Tobago,65,1
Liechtenstein,56,0
Honduras,52,1
Congo (Kinshasa),51,3
Rwanda,50,0
Kyrgyzstan,44,0
Bangladesh,44,5
Bolivia,43,0
Paraguay,41,3
Monaco,33,0
Kenya,31,1
Jamaica,26,1
Guatemala,25,1
Togo,23,0
Madagascar,23,0
Barbados,18,0
Zambia,16,0
Uganda,14,0
Tanzania,13,0
El Salvador,13,0
Maldives,13,0
Ethiopia,12,0
Equatorial Guinea,12,0
Mongolia,11,0
Dominica,11,0
Djibouti,11,0
Niger,10,1
The Bahamas,9,0
Namibia,8,0
Haiti,8,0
Suriname,8,0
Grenada,7,0
Mozambique,7,0
Seychelles,7,0
Antigua and Barbuda,7,0
Gabon,7,1
Eswatini,6,0
Benin,6,0
Laos,6,0
Eritrea,6,0
Fiji,5,0
Syria,5,0
Guyana,5,1
Angola,4,0
Holy See,4,0
Congo (Brazzaville),4,0
Guinea,4,0
Mali,4,0
Cabo Verde,4,1
Liberia,3,0
Saint Lucia,3,0
Mauritania,3,0
Central African Republic,3,0
Chad,3,0
Nepal,3,0
Sudan,3,1
The Gambia,3,1
Zimbabwe,3,1
Nicaragua,2,0
Somalia,2,0
Saint Kitts and Nevis,2,0
Bhutan,2,0
Belize,2,0
Guinea-Bissau,2,0
Timor-Leste,1,0
Libya,1,0
Saint Vincent and the Grenadines,1,0
Papua New Guinea,1,0
