China,80673,3044
South Korea,6593,42
Iran,4747,124
Italy,4636,197
Cruise Ship(Diamond Princess),696,6
Germany,639,0
France,613,9
Japan,350,6
Spain,296,3
US,272,14
Switzerland,210,1
United Kingdom,164,1
Sweden,136,0
Singapore,130,0
Netherlands,128,1
Belgium,109,0
Norway,101,0
Malaysia,83,0
Australia,61,2
Kuwait,58,0
Austria,55,0
Bahrain,49,0
Canada,48,0
Thailand,47,1
Greece,45,0
Taiwan,45,1
Iraq,35,2
Iceland,34,0
India,30,0
United Arab Emirates,27,0
Czechia,19,0
Ireland,18,0
Algeria,17,0
Israel,17,0
Lebanon,16,0
Oman,16,0
San Marino,16,1
Vietnam,16,0
Denmark,15,0
Brazil,13,0
Ecuador,13,0
Finland,12,0
Croatia,10,0
Georgia,9,0
Portugal,8,0
Qatar,8,0
Romania,8,0
Azerbaijan,6,0
Belarus,6,0
Slovenia,6,0
Chile,5,0
Estonia,5,0
Mexico,5,0
Pakistan,5,0
Philippines,5,1
Poland,5,0
Saudi Arabia,5,0
Indonesia,4,0
New Zealand,4,0
Palestine,4,0
Russia,4,0
Senegal,4,0
Egypt,3,0
Bosnia,2,0
Hungary,2,0
Luxembourg,2,0
Morocco,2,0
Afghanistan,1,0
Andorra,1,0
Argentina,1,0
Armenia,1,0
Bhutan,1,0
Cambodia,1,0
Cameroon,1,0
Dominican Republic,1,0
Gibraltar,1,0
Jordan,1,0
Latvia,1,0
Liechtenstein,1,0
Lithuania,1,0
Monaco,1,0
Nepal,1,0
Nigeria,1,0
North Macedonia,1,0
Serbia,1,0
Sri Lanka,1,0
Tunisia,1,0
Ukraine,1,0
Vatican City,1,0
