US,140886,2467
Italy,97689,10779
China,82122,3304
Spain,80110,6803
Germany,62095,533
France,40708,2611
Iran,38309,2640
United Kingdom,19780,1231
Switzerland,14829,300
Netherlands,10930,772
Belgium,10836,431
South Korea,9583,152
Turkey,9217,131
Austria,8788,86
Canada,6280,64
Portugal,5962,119
Norway,4284,25
Brazil,4256,136
Israel,4247,15
Australia,3984,16
Sweden,3700,110
Czechia,2817,16
Ireland,2615,46
Denmark,2564,72
Malaysia,2470,35
Chile,2139,7
Luxembourg,1950,21
Ecuador,1924,58
Japan,1866,54
Poland,1862,22
Romania,1815,43
Pakistan,1597,14
Russia,1534,8
Philippines,1418,71
Thailand,1388,7
Saudi Arabia,1299,8
Indonesia,1285,114
South Africa,1280,2
Finland,1240,11
Greece,1156,38
India,1024,27
Iceland,1020,2
Panama,901,17
Dominican Republic,859,39
Peru,852,18
Mexico,848,16
Singapore,844,3
Argentina,745,19
Serbia,741,13
Slovenia,730,11
Croatia,713,6
Cruise Ship(Diamond Princess),712,10
Colombia,702,10
Estonia,679,3
Qatar,634,1
Egypt,609,40
United Arab Emirates,570,3
Iraq,547,42
New Zealand,514,1
Algeria,511,31
Bahrain,499,4
Morocco,479,26
Ukraine,475,10
Lithuania,460,7
Lebanon,438,10
Armenia,424,3
Hungary,408,13
Latvia,347,0
Bulgaria,346,8
Andorra,334,6
Bosnia and Herzegovina,323,6
Slovakia,314,0
Costa Rica,314,2
Tunisia,312,8
Uruguay,304,1
Taiwan,298,2
Kazakhstan,284,1
Moldova,263,2
Jordan,259,3
North Macedonia,259,6
Kuwait,255,0
San Marino,224,22
Burkina Faso,222,12
Cyprus,214,5
Albania,212,10
Azerbaijan,209,4
Vietnam,188,0
Oman,167,0
Cote d'Ivoire,165,1
Ghana,152,5
Malta,151,0
Uzbekistan,144,2
Senegal,142,0
Cuba,139,3
Cameroon,139,6
Brunei,126,1
Afghanistan,120,4
Venezuela,119,2
Sri Lanka,117,1
Nigeria,111,1
Honduras,110,3
West Bank and Gaza,109,1
Mauritius,107,3
Cambodia,103,0
Belarus,94,0
Kosovo,94,1
Georgia,91,0
Montenegro,85,1
Kyrgyzstan,84,0
Bolivia,81,1
Trinidad and Tobago,78,3
Rwanda,70,0
Congo (Kinshasa),65,6
Paraguay,59,3
Liechtenstein,56,0
Bangladesh,48,5
Monaco,46,1
Kenya,42,1
Madagascar,39,0
Guatemala,34,1
Uganda,33,0
Barbados,33,0
Jamaica,32,1
Zambia,29,0
Togo,25,1
El Salvador,24,0
Ethiopia,21,0
Congo (Brazzaville),19,0
Djibouti,18,0
Niger,18,1
Mali,18,1
Maldives,17,0
Guinea,16,0
Haiti,15,0
Tanzania,14,0
Equatorial Guinea,12,0
Mongolia,12,0
Eritrea,12,0
Namibia,11,0
Dominica,11,0
The Bahamas,11,0
Burma,10,0
Grenada,9,0
Saint Lucia,9,0
Eswatini,9,0
Syria,9,1
Laos,8,0
Seychelles,8,0
Libya,8,0
Mozambique,8,0
Suriname,8,0
Guyana,8,1
Antigua and Barbuda,7,0
Zimbabwe,7,1
Gabon,7,1
Angola,7,2
Benin,6,0
Holy See,6,0
Sudan,6,1
Cabo Verde,6,1
Nepal,5,0
Fiji,5,0
Mauritania,5,0
Bhutan,4,0
Nicaragua,4,1
The Gambia,4,1
Central African Republic,3,0
Chad,3,0
Somalia,3,0
Liberia,3,0
MS Zaandam,2,0
Saint Kitts and Nevis,2,0
Guinea-Bissau,2,0
Belize,2,0
Timor-Leste,1,0
Saint Vincent and the Grenadines,1,0
Papua New Guinea,1,0
