US,161807,2978
Italy,101739,11591
Spain,87956,7716
China,82198,3308
Germany,66885,645
France,45170,3030
Iran,41495,2757
United Kingdom,22453,1411
Switzerland,15922,359
Belgium,11899,513
Netherlands,11817,865
Turkey,10827,168
South Korea,9661,158
Austria,9618,108
Canada,7398,80
Portugal,6408,140
Israel,4695,16
Brazil,4579,159
Norway,4445,32
Australia,4361,17
Sweden,4028,146
Czechia,3001,23
Ireland,2910,54
Denmark,2755,77
Malaysia,2626,37
Chile,2449,8
Romania,2109,65
Poland,2055,31
Luxembourg,1988,22
Ecuador,1962,60
Japan,1866,54
Russia,1836,9
Pakistan,1717,21
Philippines,1546,78
Thailand,1524,9
Saudi Arabia,1453,8
Indonesia,1414,122
Finland,1352,13
South Africa,1326,3
India,1251,32
Greece,1212,43
Iceland,1086,2
Mexico,993,20
Panama,989,24
Peru,950,24
Dominican Republic,901,42
Singapore,879,3
Argentina,820,23
Colombia,798,12
Croatia,790,6
Serbia,785,16
Slovenia,756,11
Estonia,715,3
Cruise Ship(Diamond Princess),712,10
Qatar,693,1
Egypt,656,41
Iraq,630,46
United Arab Emirates,611,5
New Zealand,589,1
Algeria,584,35
Morocco,556,33
Ukraine,548,13
Bahrain,515,4
Lithuania,491,7
Armenia,482,3
Hungary,447,15
Lebanon,446,11
Latvia,376,0
Andorra,370,8
Bosnia and Herzegovina,368,10
Bulgaria,359,8
Slovakia,336,0
Costa Rica,330,2
Tunisia,312,8
Uruguay,310,1
Taiwan,306,5
Kazakhstan,302,1
Moldova,298,2
North Macedonia,285,7
Azerbaijan,273,4
Jordan,268,5
Kuwait,266,0
Burkina Faso,246,12
Cyprus,230,7
San Marino,230,25
Albania,223,11
Vietnam,203,0
Oman,179,0
Afghanistan,170,4
Cuba,170,4
Cote d'Ivoire,168,1
Senegal,162,0
Malta,156,0
Belarus,152,0
Ghana,152,5
Uzbekistan,149,2
Cameroon,139,6
Honduras,139,7
Venezuela,135,3
Nigeria,131,2
Mauritius,128,3
Brunei,127,1
Sri Lanka,122,2
West Bank and Gaza,116,1
Cambodia,107,0
Georgia,103,0
Bolivia,97,4
Kyrgyzstan,94,0
Kosovo,94,1
Montenegro,91,1
Trinidad and Tobago,82,3
Congo (Kinshasa),81,8
Rwanda,70,0
Paraguay,64,3
Liechtenstein,62,0
Kenya,50,1
Monaco,49,1
Bangladesh,49,5
Madagascar,43,0
Guatemala,36,1
Jamaica,36,1
Zambia,35,0
Uganda,33,0
Barbados,33,0
El Salvador,30,0
Togo,30,1
Niger,27,3
Mali,25,2
Ethiopia,23,0
Guinea,22,0
Tanzania,19,0
Congo (Brazzaville),19,0
Djibouti,18,0
Maldives,17,0
Haiti,15,0
The Bahamas,14,0
Burma,14,0
Mongolia,12,0
Equatorial Guinea,12,0
Eritrea,12,0
Dominica,11,0
Namibia,11,0
Syria,10,2
Saint Lucia,9,0
Grenada,9,0
Eswatini,9,0
Guinea-Bissau,8,0
Mozambique,8,0
Seychelles,8,0
Suriname,8,0
Laos,8,0
Libya,8,0
Guyana,8,1
Saint Kitts and Nevis,7,0
Antigua and Barbuda,7,0
Gabon,7,1
Zimbabwe,7,1
Angola,7,2
Benin,6,0
Holy See,6,0
Cabo Verde,6,1
Sudan,6,2
Fiji,5,0
Nepal,5,0
Chad,5,0
Mauritania,5,1
Bhutan,4,0
Nicaragua,4,1
The Gambia,4,1
Liberia,3,0
Central African Republic,3,0
Botswana,3,0
Somalia,3,0
Belize,3,0
MS Zaandam,2,0
Saint Vincent and the Grenadines,1,0
Papua New Guinea,1,0
Timor-Leste,1,0
