US,121478,2026
Italy,92472,10023
China,81999,3299
Spain,73235,5982
Germany,57695,433
France,38105,2317
Iran,35408,2517
United Kingdom,17312,1021
Switzerland,14076,264
Netherlands,9819,640
South Korea,9478,144
Belgium,9134,353
Austria,8271,68
Turkey,7402,108
Canada,5576,61
Portugal,5170,100
Norway,4015,23
Brazil,3904,111
Australia,3640,14
Israel,3619,12
Sweden,3447,105
Czechia,2631,11
Ireland,2415,36
Denmark,2366,65
Malaysia,2320,27
Chile,1909,6
Luxembourg,1831,18
Ecuador,1823,48
Japan,1693,52
Poland,1638,18
Pakistan,1495,12
Romania,1452,37
Russia,1264,4
Thailand,1245,6
Saudi Arabia,1203,4
South Africa,1187,1
Finland,1167,9
Indonesia,1155,102
Philippines,1075,68
Greece,1061,32
India,987,24
Iceland,963,2
Singapore,802,2
Panama,786,14
Dominican Republic,719,28
Mexico,717,12
Cruise Ship(Diamond Princess),712,10
Argentina,690,18
Slovenia,684,9
Peru,671,16
Serbia,659,10
Croatia,657,5
Estonia,645,1
Colombia,608,6
Qatar,590,1
Egypt,576,36
Iraq,506,42
Bahrain,476,4
United Arab Emirates,468,2
Algeria,454,29
New Zealand,451,0
Lebanon,412,8
Armenia,407,1
Morocco,402,25
Lithuania,394,7
Ukraine,356,9
Hungary,343,11
Bulgaria,331,7
Andorra,308,3
Latvia,305,0
Costa Rica,295,2
Slovakia,292,0
Taiwan,283,2
Tunisia,278,8
Uruguay,274,0
Bosnia and Herzegovina,258,5
Jordan,246,1
North Macedonia,241,4
Kuwait,235,0
Moldova,231,2
Kazakhstan,228,1
San Marino,224,22
Burkina Faso,207,11
Albania,197,10
Azerbaijan,182,4
Cyprus,179,5
Vietnam,174,0
Oman,152,0
Malta,149,0
Ghana,141,5
Senegal,130,0
Brunei,120,1
Venezuela,119,2
Cuba,119,3
Sri Lanka,113,1
Afghanistan,110,4
Uzbekistan,104,2
Mauritius,102,2
Cote d'Ivoire,101,0
Cambodia,99,0
West Bank and Gaza,98,1
Honduras,95,1
Belarus,94,0
Kosovo,91,1
Cameroon,91,2
Georgia,90,0
Nigeria,89,1
Montenegro,84,1
Bolivia,74,0
Trinidad and Tobago,74,3
Congo (Kinshasa),65,6
Rwanda,60,0
Kyrgyzstan,58,0
Liechtenstein,56,0
Paraguay,56,3
Bangladesh,48,5
Monaco,42,0
Kenya,38,1
Guatemala,34,1
Uganda,30,0
Jamaica,30,1
Zambia,28,0
Madagascar,26,0
Barbados,26,0
Togo,25,1
El Salvador,19,0
Mali,18,0
Maldives,16,0
Ethiopia,16,0
Tanzania,14,0
Djibouti,14,0
Mongolia,12,0
Equatorial Guinea,12,0
Dominica,11,0
The Bahamas,10,0
Niger,10,1
Eswatini,9,0
Burma,8,0
Suriname,8,0
Haiti,8,0
Laos,8,0
Mozambique,8,0
Seychelles,8,0
Namibia,8,0
Guinea,8,0
Guyana,8,1
Grenada,7,0
Antigua and Barbuda,7,0
Gabon,7,1
Zimbabwe,7,1
Eritrea,6,0
Holy See,6,0
Benin,6,0
Mauritania,5,0
Nepal,5,0
Syria,5,0
Fiji,5,0
Angola,5,0
Sudan,5,1
Cabo Verde,5,1
Congo (Brazzaville),4,0
Nicaragua,4,1
Libya,3,0
Liberia,3,0
Chad,3,0
Central African Republic,3,0
Saint Lucia,3,0
Bhutan,3,0
Somalia,3,0
The Gambia,3,1
Belize,2,0
MS Zaandam,2,0
Guinea-Bissau,2,0
Saint Kitts and Nevis,2,0
Papua New Guinea,1,0
Timor-Leste,1,0
Saint Vincent and the Grenadines,1,0
