China,81661,3285
Italy,74386,7503
US,65778,942
Spain,49515,3647
Germany,37323,206
Iran,27017,2077
France,25600,1333
Switzerland,10897,153
United Kingdom,9640,466
South Korea,9137,126
Netherlands,6438,357
Austria,5588,30
Belgium,4937,178
Canada,3251,30
Norway,3084,14
Portugal,2995,43
Brazil,2554,59
Sweden,2526,62
Turkey,2433,59
Israel,2369,5
Australia,2364,8
Denmark,1862,34
Malaysia,1796,20
Czechia,1654,6
Ireland,1564,9
Luxembourg,1333,8
Japan,1307,45
Ecuador,1173,28
Chile,1142,3
Pakistan,1063,8
Poland,1051,14
Thailand,934,4
Romania,906,17
Saudi Arabia,900,2
Finland,880,3
Greece,821,22
Indonesia,790,58
Iceland,737,2
Cruise Ship(Diamond Princess),712,10
South Africa,709,0
Russia,658,3
India,657,12
Philippines,636,38
Singapore,631,2
Qatar,537,0
Slovenia,528,5
Peru,480,9
Colombia,470,4
Egypt,456,21
Panama,443,8
Croatia,442,1
Bahrain,419,4
Mexico,405,5
Estonia,404,1
Dominican Republic,392,10
Argentina,387,8
Serbia,384,4
Iraq,346,29
United Arab Emirates,333,2
Lebanon,333,6
Algeria,302,21
Lithuania,274,4
Armenia,265,0
Bulgaria,242,3
Taiwan,235,2
Hungary,226,10
Morocco,225,6
Latvia,221,0
Slovakia,216,0
San Marino,208,21
New Zealand,205,0
Costa Rica,201,2
Kuwait,195,0
Uruguay,189,0
Andorra,188,1
North Macedonia,177,3
Bosnia and Herzegovina,176,3
Tunisia,173,5
Jordan,172,0
Moldova,149,1
Burkina Faso,146,4
Albania,146,5
Ukraine,145,5
Vietnam,141,0
Cyprus,132,3
Malta,129,0
Brunei,109,0
Sri Lanka,102,0
Oman,99,0
Senegal,99,0
Cambodia,96,0
Azerbaijan,93,2
Ghana,93,4
Venezuela,91,0
Belarus,86,0
Afghanistan,84,2
Kazakhstan,81,0
Cote d'Ivoire,80,0
Georgia,75,0
Cameroon,75,1
Uzbekistan,60,0
Trinidad and Tobago,60,1
Cuba,57,1
Montenegro,52,1
Liechtenstein,51,0
Nigeria,51,1
Congo (Kinshasa),48,2
Mauritius,48,2
Kyrgyzstan,44,0
Rwanda,41,0
Bangladesh,39,5
Paraguay,37,3
Honduras,36,0
Bolivia,32,0
Monaco,31,0
Kenya,28,0
Jamaica,26,1
Guatemala,24,1
Togo,23,0
Madagascar,19,0
Barbados,18,0
Uganda,14,0
Maldives,13,0
Ethiopia,12,0
Zambia,12,0
Tanzania,12,0
Djibouti,11,0
Mongolia,10,0
El Salvador,9,0
Equatorial Guinea,9,0
Suriname,8,0
Haiti,8,0
Namibia,7,0
Dominica,7,0
Seychelles,7,0
Niger,7,1
Benin,6,0
Gabon,6,1
Syria,5,0
Fiji,5,0
Mozambique,5,0
The Bahamas,5,0
Guyana,5,1
Guinea,4,0
Congo (Brazzaville),4,0
Holy See,4,0
Eswatini,4,0
Eritrea,4,0
Cabo Verde,4,1
Laos,3,0
Nepal,3,0
Central African Republic,3,0
Chad,3,0
Saint Lucia,3,0
Antigua and Barbuda,3,0
Liberia,3,0
Angola,3,0
Zimbabwe,3,1
The Gambia,3,1
Sudan,3,1
Mali,2,0
Saint Kitts and Nevis,2,0
Mauritania,2,0
Nicaragua,2,0
Belize,2,0
Bhutan,2,0
Guinea-Bissau,2,0
Timor-Leste,1,0
Libya,1,0
Papua New Guinea,1,0
Somalia,1,0
Grenada,1,0
Saint Vincent and the Grenadines,1,0
