China,80381,2983
South Korea,5621,35
Italy,3089,107
Iran,2922,92
Cruise Ship(Diamond Princess),706,6
Japan,319,6
France,285,4
Germany,262,0
Spain,202,1
US,154,11
Singapore,110,0
United Kingdom,85,0
Switzerland,80,0
Kuwait,56,0
Sweden,52,0
Malaysia,50,0
Bahrain,49,0
Norway,48,0
Australia,43,2
Thailand,43,1
Taiwan,42,1
Netherlands,38,0
Iraq,35,2
Canada,33,0
Austria,29,0
India,28,0
United Arab Emirates,27,0
Iceland,26,0
Belgium,23,0
Algeria,17,0
San Marino,16,1
Vietnam,16,0
Israel,15,0
Lebanon,13,0
Oman,12,0
Denmark,10,0
Croatia,9,0
Czechia,8,0
Greece,8,0
Qatar,8,0
Ecuador,7,0
Finland,7,0
Belarus,6,0
Ireland,6,0
Romania,6,0
Mexico,5,0
Pakistan,5,0
Portugal,5,0
Brazil,4,0
Senegal,4,0
Azerbaijan,3,0
Georgia,3,0
Philippines,3,1
Russia,3,0
Egypt,2,0
Estonia,2,0
Hungary,2,0
Indonesia,2,0
New Zealand,2,0
Saudi Arabia,2,0
Afghanistan,1,0
Andorra,1,0
Argentina,1,0
Armenia,1,0
Cambodia,1,0
Chile,1,0
Dominican Republic,1,0
Jordan,1,0
Latvia,1,0
Liechtenstein,1,0
Lithuania,1,0
Luxembourg,1,0
Monaco,1,0
Morocco,1,0
Nepal,1,0
Nigeria,1,0
North Macedonia,1,0
Poland,1,0
Sri Lanka,1,0
Tunisia,1,0
Ukraine,1,0
