US,213372,4757
Italy,110574,13155
Spain,104118,9387
China,82361,3316
Germany,77872,920
France,57749,4043
Iran,47593,3036
United Kingdom,29865,2357
Switzerland,17768,488
Turkey,15679,277
Belgium,13964,828
Netherlands,13696,1175
Austria,10711,146
South Korea,9887,165
Canada,9560,109
Portugal,8251,187
Brazil,6836,240
Israel,6092,26
Sweden,4947,239
Norway,4863,44
Australia,4862,20
Czechia,3508,39
Ireland,3447,85
Denmark,3290,104
Chile,3031,16
Malaysia,2908,45
Russia,2777,24
Ecuador,2748,93
Poland,2554,43
Romania,2460,92
Luxembourg,2319,29
Philippines,2311,96
Japan,2178,57
Pakistan,2118,27
India,1998,58
Thailand,1771,12
Saudi Arabia,1720,16
Indonesia,1677,157
Finland,1446,17
Greece,1415,50
South Africa,1380,5
Peru,1323,38
Dominican Republic,1284,57
Iceland,1220,2
Mexico,1215,29
Panama,1181,30
Colombia,1065,17
Serbia,1060,28
Argentina,1054,28
Singapore,1000,3
Croatia,963,6
Algeria,847,58
Slovenia,841,15
Qatar,835,2
United Arab Emirates,814,8
Ukraine,794,20
Estonia,779,5
Egypt,779,52
Iraq,728,52
Cruise Ship(Diamond Princess),712,11
New Zealand,708,1
Morocco,654,39
Lithuania,581,8
Armenia,571,4
Bahrain,569,4
Hungary,525,20
Lebanon,479,14
Bosnia and Herzegovina,459,13
Latvia,446,0
Moldova,423,5
Tunisia,423,12
Bulgaria,422,10
Slovakia,400,1
Andorra,390,14
Kazakhstan,380,3
Costa Rica,375,2
Azerbaijan,359,5
North Macedonia,354,11
Uruguay,338,2
Taiwan,329,5
Cyprus,320,9
Kuwait,317,0
Burkina Faso,282,16
Jordan,278,5
Albania,259,15
Afghanistan,237,4
San Marino,236,26
Cameroon,233,6
Vietnam,218,0
Cuba,212,6
Oman,210,1
Ghana,195,5
Senegal,190,1
Cote d'Ivoire,190,1
Malta,188,0
Uzbekistan,181,2
Nigeria,174,2
Honduras,172,10
Belarus,163,2
Mauritius,161,6
Sri Lanka,146,3
Venezuela,143,3
West Bank and Gaza,134,1
Brunei,131,1
Kosovo,125,1
Montenegro,123,2
Georgia,117,0
Bolivia,115,7
Kyrgyzstan,111,0
Cambodia,109,0
Congo (Kinshasa),109,9
Trinidad and Tobago,90,5
Rwanda,82,0
Kenya,81,1
Niger,74,5
Paraguay,69,3
Liechtenstein,68,0
Madagascar,57,0
Monaco,55,1
Bangladesh,54,6
Uganda,44,0
Jamaica,44,3
Guatemala,39,1
Zambia,36,0
Togo,36,2
Barbados,34,0
Djibouti,33,0
El Salvador,32,1
Mali,31,3
Guinea,30,0
Ethiopia,29,0
The Bahamas,21,1
Tanzania,20,1
Maldives,19,0
Congo (Brazzaville),19,0
Guyana,19,2
Gabon,18,1
Haiti,16,0
Equatorial Guinea,15,0
Eritrea,15,0
Burma,15,1
Namibia,14,0
Mongolia,14,0
Saint Lucia,13,0
Benin,13,0
Dominica,12,0
Libya,10,0
Laos,10,0
Suriname,10,0
Seychelles,10,0
Mozambique,10,0
Syria,10,2
Guinea-Bissau,9,0
Grenada,9,0
Eswatini,9,0
MS Zaandam,9,2
Saint Kitts and Nevis,8,0
Zimbabwe,8,1
Angola,8,2
Antigua and Barbuda,7,0
Chad,7,0
Sudan,7,2
Liberia,6,0
Holy See,6,0
Mauritania,6,1
Cabo Verde,6,1
Nepal,5,0
Fiji,5,0
Somalia,5,0
Nicaragua,5,1
Bhutan,4,0
Botswana,4,1
The Gambia,4,1
Belize,3,0
Central African Republic,3,0
Sierra Leone,2,0
Burundi,2,0
Papua New Guinea,1,0
Saint Vincent and the Grenadines,1,0
Timor-Leste,1,0
